id,name,type,rarity,weight_class,bucket,via,set
681,,Armor,Basic,Medium,Core Tyria & non-expansion releases,unmatched-default-core,
1042,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1043,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1047,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1053,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1054,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1055,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1056,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1058,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1059,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1061,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1063,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1065,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1067,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1068,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1070,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1073,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1076,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1078,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1080,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1083,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1088,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1089,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1096,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1104,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1108,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1109,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1110,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1112,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1114,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1115,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1117,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1118,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1129,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1133,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1138,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1139,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1140,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1142,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1146,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1147,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1148,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1149,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1150,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1158,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1159,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1161,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1164,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1165,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1166,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1167,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1168,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1170,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1171,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1173,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1174,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1175,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1176,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1177,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1178,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1179,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1180,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1182,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1183,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1193,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1194,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1211,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1212,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1213,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1214,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1215,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1216,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1217,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1218,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1233,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1247,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1248,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1249,,Armor,Basic,Clothing,Core Tyria & non-expansion releases,unmatched-default-core,
1447,,Armor,Basic,Medium,Core Tyria & non-expansion releases,unmatched-default-core,
2036,,Armor,Basic,Heavy,Core Tyria & non-expansion releases,unmatched-default-core,
2118,,Armor,Basic,Heavy,Core Tyria & non-expansion releases,unmatched-default-core,
2119,,Armor,Basic,Heavy,Core Tyria & non-expansion releases,unmatched-default-core,
2329,,Back,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2339,,Back,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2393,,Gathering,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2394,,Gathering,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2434,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2445,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2451,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2562,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2604,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2605,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2661,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2689,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2743,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2773,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2775,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2788,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2809,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2829,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2835,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2838,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2851,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
2866,,Weapon,Basic,,Core Tyria & non-expansion releases,unmatched-default-core,
