id,name,type,rarity,weight_class,wiki_first_seen,inferred_era
3868,Greatsword,Weapon,Basic,,2010-04-28T17:21:32Z,Core Tyria & non-expansion releases
3859,Warhorn,Weapon,Basic,,2010-04-28T18:30:07Z,Core Tyria & non-expansion releases
3865,Axe,Weapon,Basic,,2010-04-28T18:35:52Z,Core Tyria & non-expansion releases
3871,Dagger,Weapon,Basic,,2010-04-28T18:36:22Z,Core Tyria & non-expansion releases
3861,Mace,Weapon,Basic,,2010-04-28T18:36:28Z,Core Tyria & non-expansion releases
3864,Pistol,Weapon,Basic,,2010-04-28T18:36:36Z,Core Tyria & non-expansion releases
3866,Scepter,Weapon,Basic,,2010-04-28T18:36:42Z,Core Tyria & non-expansion releases
3873,Sword,Weapon,Basic,,2010-04-28T18:36:48Z,Core Tyria & non-expansion releases
3869,Hammer,Weapon,Basic,,2010-04-28T18:37:25Z,Core Tyria & non-expansion releases
3854,Longbow,Weapon,Basic,,2010-04-28T18:37:41Z,Core Tyria & non-expansion releases
3867,Rifle,Weapon,Basic,,2010-04-28T18:37:47Z,Core Tyria & non-expansion releases
3860,Short Bow,Weapon,Basic,,2010-04-28T18:37:54Z,Core Tyria & non-expansion releases
3872,Staff,Weapon,Basic,,2010-04-28T18:38:01Z,Core Tyria & non-expansion releases
3863,Focus,Weapon,Basic,,2010-04-28T18:38:38Z,Core Tyria & non-expansion releases
3855,Shield,Weapon,Basic,,2010-04-28T18:38:44Z,Core Tyria & non-expansion releases
3856,Torch,Weapon,Basic,,2010-04-28T18:38:51Z,Core Tyria & non-expansion releases
7862,Sunspear,Weapon,Basic,,2010-06-19T20:50:49Z,Core Tyria & non-expansion releases
12595,Sunspear,Weapon,Basic,,2010-06-19T20:50:49Z,Core Tyria & non-expansion releases
4580,Fellblade,Weapon,Basic,,2010-10-08T22:29:57Z,Core Tyria & non-expansion releases
4584,Fiery Dragon Sword,Weapon,Basic,,2010-10-08T22:44:15Z,Core Tyria & non-expansion releases
4575,Stygian Axe,Weapon,Basic,,2010-10-08T23:00:22Z,Core Tyria & non-expansion releases
4569,Flaming Beacon,Weapon,Basic,,2010-10-08T23:03:02Z,Core Tyria & non-expansion releases
4570,Mountaincall Warhorn,Weapon,Basic,,2010-10-08T23:24:15Z,Core Tyria & non-expansion releases
4576,Wayward Wand Scepter,Weapon,Basic,,2010-10-08T23:30:19Z,Core Tyria & non-expansion releases
